,lesion,mental status changes,malaise,anorexia,bedridden,hyperkalemia,hemodynamically stable,ascites,wheelchair bound,guaiac positive,yellow sputum,pleuritic pain,pruritus,asthenia,patient non compliance,lethargy,rale,haemorrhage,feeling suicidal,acute episodes,bleeding from anus,bowel obstruction,coughing up blood,cyst,dark stool from digested blood,dehydration,difficulty speaking,dull pain,facial swelling,flank pain,fluid in the abdomen,hand swelling,kidney failure,leaking of urine,low oxygen in the body,malnutrition,mental confusion,problems with coordination,sadness,swelling under the skin,tongue swelling,weakness of one side of the body,decreased smell,grinding teeth,pulsating sensation,vocal outbursts,inattention,bladder spasms,irregular heartbeat,enlarged finger tips,self-neglect,thin  stools,bad taste in mouth,flashbacks,overactive bladder,chronic pain,learning disability,nail clubbing,apathy,hallucinations,decreased urination,female facial hair,diogenes syndrome,strange smell,choking,blunted affect,shuffling gait,urine leaking,shaking,lack of motivation,hiccups,excessive gas,watery eyes,thick saliva,ptosis,foul smelling stools,eyelashes falling out,watery mouth,black colored stools,telangiectasia,lack of facial expressions,difficulty staying awake during day,metallic taste in mouth,sneezing,bloating,impaired judgement,attention deficit,loss of coordination,tenderness to touch,jaw locking,vaginal pain,impotence,fits of rage,coarse hair,change in vision,delirium,lack of emotion,regurgitation of food,leg swelling,pain when moving eyes,muscle stiffness,taste of acid in mouth,spasms,vision loss,throat tightness,flushed skin,tires quickly,testicles shrinkage,unable to bear weight,restless,sore tongue,joint warmth,proteinuria,cloudy vision,nail discoloration,compulsive behavior,loss of balance,nosebleed,stool color & texture changes,vaginal itching,rectal bleeding,excessive facial hair growth,cracks at corner of mouth,hemolysis,curved spine,swollen gums,adhd,frequent infections,hearing voices,joint stiffness,ringing in ears,abnormal facial expressions,red colored urine,excessive body hair growth,excessive exercising,tightness,hunger,low libido,change in stools,difficulty starting urine stream,disorganized speech,hyperactivity,bald spots,short attention span,abdominal lump,blue colored skin,joint instability,increased appetite,difficulty finding words,discharge from nipple,heaviness,low self-esteem,bloody sputum,coated tongue,decreased movement,scaling,heartburn,spots on tonsils,no menstrual periods,flaking skin,difficulty breathing through nose,dysphagia,hearing loss,pleurisy,blood in semen,red colored stools,eye crusting with sleep,breast discharge,impulsive behavior,change in hair texture,sensitive to light,black colored skin,mucus,eyelid redness,burning urination,finger pain,flat affect,blood on toilet tissue,grooved tongue,nail separation,binge eating,difficulty talking,loss of temperature sensation,impulsivity,difficulty sleeping,heavy menstrual bleeding,hemolytic anemia,food cravings,poor concentration,late menstrual period,bulge,red gums,eye floaters,early morning waking,tiredness,feeling faint,joint locking,gum sores,nighttime wheezing,splinter hemorrhage,loss of smell,fear of gaining weight,belching,furry tongue,involuntary head turning,skin irritation,damaged teeth enamel,post nasal drip,distorted body image,spots on throat,tearing in one eye,frightening dreams,hoarse voice,pounding heart,inability to exercise,poor hygiene,increased passing gas,feel no air,delusions,joint deformity,emotional detachment,low testosterone,yellow skin,swollen tonsils,joint redness,loss of taste sensation,high blood pressure,swollen joints,drinking excessive fluids,brittle hair,bleeding easily,jaundice,ear ache,sore throat,agitation,constipation,chest pressure,overweight,numbness,abdominal pain,nausea,back pain,vertigo,chill,distress respiratory,hoarseness,wheezing,drowsiness,labored breathing,fatigue,fever,diarrhea,dizziness,urinary urgency,shortness of breath,palpitation,aggression,ankle pain,arm pain,bleeding,blood in urine,blurred vision,bruising,confusion,phlegm,dark urine,disorientation,double vision,drooping eyelid,dry mouth,dry skin,elbow pain,skin rash,fainting,fast heart rate,foot pain,groin pain,hand pain,hip pain,insomnia,knee pain,leg pain,loss of appetite,low blood pressure,nasal congestion,neck pain,noisy breathing,pain during urination,pelvic pain,rectal pain,runny nose,shoulder pain,slurred speech,stomach cramps,swollen knee,urinary retention,vaginal discharge,vomiting blood,wrist pain,cloudy urine,easy bruising,mouth sores,vaginal dryness,dry eyes,loss of speech,cold feet,decreased appetite,swollen lymph nodes,peeling skin,tingling,involuntary movements,spasticity, shaking chills,bitter almond odor on breath,rectal incontinence,bleeding gums,swollen tongue,impaired social skills,frequent bowel movements,pale skin,mood swings,excessive sweating,change in bowel habits,burning mouth,morning stiffness,bad breath,binge drinking,difficulty urinating,stiff neck,cloudy urine with strong odor,weight gain,hot flashes,cold hands,aphasia,skin bumps,hair loss,discharge from penis,echophrasia,warm to touch face,sweat,dyspnea,distended stomach,weight loss,muscle twitch,sleepiness,tremor,fall,bleeding of vagina,cough,pain chest,muscle cramps,crying,rapid breathing,muscle pain,slow heart rate,testicle pain,toe pain,blackouts,joint pain,vomiting,enlarged  pupils,painful intercourse,hyperventilating,red  eyes,shaking hands,swollen lips,headache,red spots on the skin,swollen glands,memory loss,bulging veins,irregular menstrual periods,easily distracted,white patches on tongue,difficulty swallowing,sensitive to heat,red  tongue,curved fingernails,weakness,sensitivity to cold,difficulty concentrate,seizures,broken bone,painful bowel movements,missed menstrual period,creaking joints,increased thirst,abnormal gait,painful erection,restless  legs,!lesion,!mental status changes,!malaise,!anorexia,!bedridden,!hyperkalemia,!hemodynamically stable,!ascites,!wheelchair bound,!guaiac positive,!yellow sputum,!pleuritic pain,!pruritus,!asthenia,!patient non compliance,!lethargy,!rale,!haemorrhage,!feeling suicidal,!acute episodes,!bleeding from anus,!bowel obstruction,!coughing up blood,!cyst,!dark stool from digested blood,!dehydration,!difficulty speaking,!dull pain,!facial swelling,!flank pain,!fluid in the abdomen,!hand swelling,!kidney failure,!leaking of urine,!low oxygen in the body,!malnutrition,!mental confusion,!problems with coordination,!sadness,!swelling under the skin,!tongue swelling,!weakness of one side of the body,!decreased smell,!grinding teeth,!pulsating sensation,!vocal outbursts,!inattention,!bladder spasms,!irregular heartbeat,!enlarged finger tips,!self-neglect,!thin  stools,!bad taste in mouth,!flashbacks,!overactive bladder,!chronic pain,!learning disability,!nail clubbing,!apathy,!hallucinations,!decreased urination,!female facial hair,!diogenes syndrome,!strange smell,!choking,!blunted affect,!shuffling gait,!urine leaking,!shaking,!lack of motivation,!hiccups,!excessive gas,!watery eyes,!thick saliva,!ptosis,!foul smelling stools,!eyelashes falling out,!watery mouth,!black colored stools,!telangiectasia,!lack of facial expressions,!difficulty staying awake during day,!metallic taste in mouth,!sneezing,!bloating,!impaired judgement,!attention deficit,!loss of coordination,!tenderness to touch,!jaw locking,!vaginal pain,!impotence,!fits of rage,!coarse hair,!change in vision,!delirium,!lack of emotion,!regurgitation of food,!leg swelling,!pain when moving eyes,!muscle stiffness,!taste of acid in mouth,!spasms,!vision loss,!throat tightness,!flushed skin,!tires quickly,!testicles shrinkage,!unable to bear weight,!restless,!sore tongue,!joint warmth,!proteinuria,!cloudy vision,!nail discoloration,!compulsive behavior,!loss of balance,!nosebleed,!stool color & texture changes,!vaginal itching,!rectal bleeding,!excessive facial hair growth,!cracks at corner of mouth,!hemolysis,!curved spine,!swollen gums,!adhd,!frequent infections,!hearing voices,!joint stiffness,!ringing in ears,!abnormal facial expressions,!red colored urine,!excessive body hair growth,!excessive exercising,!tightness,!hunger,!low libido,!change in stools,!difficulty starting urine stream,!disorganized speech,!hyperactivity,!bald spots,!short attention span,!abdominal lump,!blue colored skin,!joint instability,!increased appetite,!difficulty finding words,!discharge from nipple,!heaviness,!low self-esteem,!bloody sputum,!coated tongue,!decreased movement,!scaling,!heartburn,!spots on tonsils,!no menstrual periods,!flaking skin,!difficulty breathing through nose,!dysphagia,!hearing loss,!pleurisy,!blood in semen,!red colored stools,!eye crusting with sleep,!breast discharge,!impulsive behavior,!change in hair texture,!sensitive to light,!black colored skin,!mucus,!eyelid redness,!burning urination,!finger pain,!flat affect,!blood on toilet tissue,!grooved tongue,!nail separation,!binge eating,!difficulty talking,!loss of temperature sensation,!impulsivity,!difficulty sleeping,!heavy menstrual bleeding,!hemolytic anemia,!food cravings,!poor concentration,!late menstrual period,!bulge,!red gums,!eye floaters,!early morning waking,!tiredness,!feeling faint,!joint locking,!gum sores,!nighttime wheezing,!splinter hemorrhage,!loss of smell,!fear of gaining weight,!belching,!furry tongue,!involuntary head turning,!skin irritation,!damaged teeth enamel,!post nasal drip,!distorted body image,!spots on throat,!tearing in one eye,!frightening dreams,!hoarse voice,!pounding heart,!inability to exercise,!poor hygiene,!increased passing gas,!feel no air,!delusions,!joint deformity,!emotional detachment,!low testosterone,!yellow skin,!swollen tonsils,!joint redness,!loss of taste sensation,!high blood pressure,!swollen joints,!drinking excessive fluids,!brittle hair,!bleeding easily,!jaundice,!ear ache,!sore throat,!agitation,!constipation,!chest pressure,!overweight,!numbness,!abdominal pain,!nausea,!back pain,!vertigo,!chill,!distress respiratory,!hoarseness,!wheezing,!drowsiness,!labored breathing,!fatigue,!fever,!diarrhea,!dizziness,!urinary urgency,!shortness of breath,!palpitation,!aggression,!ankle pain,!arm pain,!bleeding,!blood in urine,!blurred vision,!bruising,!confusion,!phlegm,!dark urine,!disorientation,!double vision,!drooping eyelid,!dry mouth,!dry skin,!elbow pain,!skin rash,!fainting,!fast heart rate,!foot pain,!groin pain,!hand pain,!hip pain,!insomnia,!knee pain,!leg pain,!loss of appetite,!low blood pressure,!nasal congestion,!neck pain,!noisy breathing,!pain during urination,!pelvic pain,!rectal pain,!runny nose,!shoulder pain,!slurred speech,!stomach cramps,!swollen knee,!urinary retention,!vaginal discharge,!vomiting blood,!wrist pain,!cloudy urine,!easy bruising,!mouth sores,!vaginal dryness,!dry eyes,!loss of speech,!cold feet,!decreased appetite,!swollen lymph nodes,!peeling skin,!tingling,!involuntary movements,!spasticity,! shaking chills,!bitter almond odor on breath,!rectal incontinence,!bleeding gums,!swollen tongue,!impaired social skills,!frequent bowel movements,!pale skin,!mood swings,!excessive sweating,!change in bowel habits,!burning mouth,!morning stiffness,!bad breath,!binge drinking,!difficulty urinating,!stiff neck,!cloudy urine with strong odor,!weight gain,!hot flashes,!cold hands,!aphasia,!skin bumps,!hair loss,!discharge from penis,!echophrasia,!warm to touch face,!sweat,!dyspnea,!distended stomach,!weight loss,!muscle twitch,!sleepiness,!tremor,!fall,!bleeding of vagina,!cough,!pain chest,!muscle cramps,!crying,!rapid breathing,!muscle pain,!slow heart rate,!testicle pain,!toe pain,!blackouts,!joint pain,!vomiting,!enlarged  pupils,!painful intercourse,!hyperventilating,!red  eyes,!shaking hands,!swollen lips,!headache,!red spots on the skin,!swollen glands,!memory loss,!bulging veins,!irregular menstrual periods,!easily distracted,!white patches on tongue,!difficulty swallowing,!sensitive to heat,!red  tongue,!curved fingernails,!weakness,!sensitivity to cold,!difficulty concentrate,!seizures,!broken bone,!painful bowel movements,!missed menstrual period,!creaking joints,!increased thirst,!abnormal gait,!painful erection,!restless  legs,Sum,Age18-35,Age35-55,Age55+,Female,Male,%-%pleuritic pain%-%Low%-%,%-%pleuritic pain%-%Medium%-%,%-%pleuritic pain%-%Strong%-%,%-%dull pain%-%Low%-%,%-%dull pain%-%Medium%-%,%-%dull pain%-%Strong%-%,%-%flank pain%-%Low%-%,%-%flank pain%-%Medium%-%,%-%flank pain%-%Strong%-%,%-%chronic pain%-%Low%-%,%-%chronic pain%-%Medium%-%,%-%chronic pain%-%Strong%-%,%-%vaginal pain%-%Low%-%,%-%vaginal pain%-%Medium%-%,%-%vaginal pain%-%Strong%-%,%-%nosebleed%-%Low%-%,%-%nosebleed%-%Medium%-%,%-%nosebleed%-%Strong%-%,%-%finger pain%-%Low%-%,%-%finger pain%-%Medium%-%,%-%finger pain%-%Strong%-%,%-%abdominal pain%-%Low%-%,%-%abdominal pain%-%Medium%-%,%-%abdominal pain%-%Strong%-%,%-%back pain%-%Low%-%,%-%back pain%-%Medium%-%,%-%back pain%-%Strong%-%,%-%ankle pain%-%Low%-%,%-%ankle pain%-%Medium%-%,%-%ankle pain%-%Strong%-%,%-%arm pain%-%Low%-%,%-%arm pain%-%Medium%-%,%-%arm pain%-%Strong%-%,%-%elbow pain%-%Low%-%,%-%elbow pain%-%Medium%-%,%-%elbow pain%-%Strong%-%,%-%foot pain%-%Low%-%,%-%foot pain%-%Medium%-%,%-%foot pain%-%Strong%-%,%-%groin pain%-%Low%-%,%-%groin pain%-%Medium%-%,%-%groin pain%-%Strong%-%,%-%hand pain%-%Low%-%,%-%hand pain%-%Medium%-%,%-%hand pain%-%Strong%-%,%-%hip pain%-%Low%-%,%-%hip pain%-%Medium%-%,%-%hip pain%-%Strong%-%,%-%knee pain%-%Low%-%,%-%knee pain%-%Medium%-%,%-%knee pain%-%Strong%-%,%-%leg pain%-%Low%-%,%-%leg pain%-%Medium%-%,%-%leg pain%-%Strong%-%,%-%neck pain%-%Low%-%,%-%neck pain%-%Medium%-%,%-%neck pain%-%Strong%-%,%-%pain during urination%-%Low%-%,%-%pain during urination%-%Medium%-%,%-%pain during urination%-%Strong%-%,%-%pelvic pain%-%Low%-%,%-%pelvic pain%-%Medium%-%,%-%pelvic pain%-%Strong%-%,%-%rectal pain%-%Low%-%,%-%rectal pain%-%Medium%-%,%-%rectal pain%-%Strong%-%,%-%shoulder pain%-%Low%-%,%-%shoulder pain%-%Medium%-%,%-%shoulder pain%-%Strong%-%,%-%wrist pain%-%Low%-%,%-%wrist pain%-%Medium%-%,%-%wrist pain%-%Strong%-%,%-%pain chest%-%Low%-%,%-%pain chest%-%Medium%-%,%-%pain chest%-%Strong%-%,%-%muscle pain%-%Low%-%,%-%muscle pain%-%Medium%-%,%-%muscle pain%-%Strong%-%,%-%testicle pain%-%Low%-%,%-%testicle pain%-%Medium%-%,%-%testicle pain%-%Strong%-%,%-%toe pain%-%Low%-%,%-%toe pain%-%Medium%-%,%-%toe pain%-%Strong%-%,%-%joint pain%-%Low%-%,%-%joint pain%-%Medium%-%,%-%joint pain%-%Strong%-%,%-%headache%-%Low%-%,%-%headache%-%Medium%-%,%-%headache%-%Strong%-%
abdominal aortic aneurysm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,668.0,1.0,1.0,1.0,805.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,614.0,1.0,1.0,1.0,721.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,832.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,469.0,814.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,799.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,780.0,599.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,462.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,636.0,1.0,1.0,656.0,475.0,1.0,478.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,652.0,1.0,1.0,495.0,1.0,1.0,803.0,1.0,1.0,1.0,1.0,1.0,1.0,872.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,844.0,1.0,1.0,786.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,697.0,1.0,1.0,1.0,652.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,568.0,1.0,1.0,1.0,670.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,468.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,518.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,875.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,538.0,729.0,1.0,1.0,1.0,1.0,1.0,1.0,864.0,1.0,1.0,1.0,834.0,871.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,480.0,1.0,1.0,1.0,1.0,1.0,1.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,233.0,900.0,900.0,900.0,96.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,287.0,900.0,900.0,900.0,180.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,69.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,432.0,87.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,102.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,121.0,302.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,439.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,265.0,900.0,900.0,245.0,426.0,900.0,423.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,249.0,900.0,900.0,406.0,900.0,900.0,98.0,900.0,900.0,900.0,900.0,900.0,900.0,29.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,57.0,900.0,900.0,115.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,204.0,900.0,900.0,900.0,249.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,333.0,900.0,900.0,900.0,231.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,433.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,383.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,26.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,363.0,172.0,900.0,900.0,900.0,900.0,900.0,900.0,37.0,900.0,900.0,900.0,67.0,30.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,900.0,421.0,900.0,900.0,900.0,900.0,900.0,900.0,901.0,138.0,91.0,672.0,434.0,467.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,86.0,108.0,281.0,158.0,97.0,223.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,73.0,94.0,371.0,287.0,178.0,399.0
addison's disease,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,802.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,833.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,560.0,1.0,852.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,692.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,522.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,885.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,144.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,113.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,386.0,945.0,94.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,254.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,424.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,61.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,945.0,946.0,274.0,134.0,538.0,447.0,499.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
